DEPTH,ROP5,AZIM_CONT_RT,SHK_ISONIC_RT,TQA,SHKTOT_RT,CRPM_RT,ARC_GR_RT,RHOB_DH_ADN_RT,SPM1,DEPT,APRS_RT,SHK_ADN_RT,STAT_ADN_RT,P40L_RT,TRPM_RT,TFLO,ADIA_ADN_RT,RPM,P40H_RT,INCL_CONT_RT,SHKPK_RT,ROP,BITRUN,SPM3,STUCK_RT,STAT_ISONIC_RT,SPPA,SHKRSK_RT,TNPH_ADN_RT,SPM2,ECD_ARC_RT,DRHO_DH_ADN_RT,HKLD,DTCO_RT,PASS_NAME,SWOB,SHK2_RT,DVER,P28H_RT,STWD_RT
230.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.2206216,,
230.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
230.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.3730216,,
230.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,,,
230.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.5254216,,
230.581,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0.5117,,,,,,Drilling,,,230.5802856,,
230.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,230.7326856,,
230.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,230.8850856,,
231.038,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,231.0374856,,
231.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,Drilling,,,231.1898856,,
231.343,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0.5387,,,,,,Drilling,,,231.3422856,,
231.496,,,,,,,,,,,,,,,,,58.0898,,,,,,3,,,,,,0.5557,,,,,,Drilling,,,231.4946856,,
231.648,,,,,,,,,,,,,,,,,58.0898,,,,,,3,,,,,,0.4817,,,,,,Drilling,,,231.6470856,,
231.8,,,,,,,,1.1,,,,,,,,,,,,,,,3,,,,,,0.4929,,,,,,Drilling,,,231.7994856,,
231.953,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0.4901,,,,,,Drilling,,,231.9518856,,
232.105,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0.4373,,,,,,Drilling,,,232.1042856,,
232.258,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0.5579,,,,,,Drilling,,,232.2566856,,
232.41,,,,,,,,1.1,,,,0,,,,,,,,,,,3,,,,,,0.5154,,,-0.08,,,Drilling,,,232.4090856,,
232.562,,,,,,,,1.25,,,,,,,,,,,,,,,3,,,,,,0.5764,,,-0.09,,,Drilling,,,232.5614856,,
232.715,,,,,,,,1.29,,,,,,,,,,,,,,,3,,,,,,0.6153,,,-0.08,,,Drilling,,,232.7138856,,
232.867,,,,,,,,1.27,,,,,,,,,26.2382,,,,,,3,,,,,,0.4845,,,-0.08,,,Drilling,,,232.8662856,,
233.02,,,,,,,,1.26,,,,,,,,,26.0858,,,,,,3,,,,,,0.5716,,,-0.08,,,Drilling,,,233.0186856,,
233.172,,,,,,,,1.21,,,,,,,,,42.164,,,,,,3,,,,,,0.4987,,,-0.1,,,Drilling,,,233.1710856,,
233.324,,,,,,,,1.21,,,,,,,,,42.164,,,,,,3,,,,,,0.5191,,,-0.1,,,Drilling,,,233.3234856,,
233.477,,,,,,,,1.21,,,,,,,,,26.2382,,,,,,3,,,,,,0.4929,,,-0.1,,,Drilling,,,233.4758856,,
233.629,,,,,,,,1.23,,,,0,,,,,26.2382,,,,,,3,,,,,,0.5229,,,-0.1,,,Drilling,,,233.6282856,,
233.782,,,,,,,,1.22,,,,0,,,,,26.2382,,,,,,3,,,,,,0.4845,,,-0.1,,,Drilling,,,233.7806856,,
233.934,,,,,,,,1.22,,,,0,,,,,26.0858,,,,,,3,,,,,,0.567,,,-0.09,,,Drilling,,,233.9330856,,
234.086,,,,,,,,1.22,,,,0,,,,,42.164,,,,,,3,,,,,,0.4157,,,-0.1,,,Drilling,,,234.0854856,,
234.239,,,,,,,,1.22,,,,0,,,,,41.9862,,,,,,3,,,,,,0.5964,,,-0.1,,,Drilling,,,234.2378856,,
234.391,,,,,,,,1.22,,,,0,,,,,41.9862,,,,,,3,,,,,,0.4901,,,-0.1,,,Drilling,,,234.3902856,,
234.544,,,,,,,,1.22,,,,0,,,,,42.164,,,,,,3,,,,,,0.545,,,-0.1,,,Drilling,,,234.5426856,,
234.696,,,,,,,,1.25,,,,0,,,,,41.9862,,,,,,3,,,,,,0.5408,,,-0.09,,,Drilling,,,234.6950856,,
234.848,,,,,,,,1.23,,,,0,,,,,41.8338,,,,,,3,,,,,,0.5602,,,-0.1,,,Drilling,,,234.8474856,,
235.001,,,,,,,,1.23,,,,0,,,,,41.9862,,,,,,3,,,,,,0.5579,,,-0.1,,,Drilling,,,234.9998856,,
235.153,,,,,,,,1.22,,,,0,,,,,41.9862,,,,,,3,,,,,,0.5408,,,-0.1,,,Drilling,,,235.1522856,,
235.306,,,,,,,,1.24,,,,0,,,,,41.9862,,,,,,3,,,,,,0.5408,,,-0.09,,,Drilling,,,235.3046856,,
235.458,,,,,,,,1.23,,,,0,,,,,25.908,,,,,,3,,,,,,0.5045,,,-0.1,,,Drilling,,,235.4570856,,
